16:52:11 步驟 : 3 GUID : 2ad4a3e4-979b-4937-9ab4-0c049e28891a 訊息 : args[0] = 172.20.22.100 ， args[1] = 2ad4a3e4-979b-4937-9ab4-0c049e28891a ， args[2] = 3 ， args[3] = 243180102，args[4] = 53790003-f14a-44e9-a1df-b542f664ad45
16:52:12^3^違反 PRIMARY KEY 條件約束 'PK_UDI_ORDER_1'。無法在物件 'ftp.UDI_ORDER' 中插入重複的索引鍵。重複的索引鍵值是 (2ad4a3e4-979b-4937-9ab4-0c049e28891a)。
違反 PRIMARY KEY 條件約束 'PK_UDI_PUT_1'。無法在物件 'ftp.UDI_PUT' 中插入重複的索引鍵。重複的索引鍵值是 (2ad4a3e4-979b-4937-9ab4-0c049e28891a, 1)。
陳述式已經結束。
陳述式已經結束。
16:54:26 步驟 : 3 GUID : 2ad4a3e4-979b-4937-9ab4-0c049e28891a 訊息 : 寫入第 130 筆資料
16:54:26 步驟 : 3 GUID : 2ad4a3e4-979b-4937-9ab4-0c049e28891a 訊息 : 寫入第 131 筆資料
16:54:26 步驟 : 3 GUID : 2ad4a3e4-979b-4937-9ab4-0c049e28891a 訊息 : 寫入第 132 筆資料
16:54:26 步驟 : 3 GUID : 2ad4a3e4-979b-4937-9ab4-0c049e28891a 訊息 : 寫入第 133 筆資料
16:54:26 步驟 : 3 GUID : 2ad4a3e4-979b-4937-9ab4-0c049e28891a 訊息 : 寫入第 134 筆資料
16:54:26 步驟 : 3 GUID : 2ad4a3e4-979b-4937-9ab4-0c049e28891a 訊息 : 寫入第 135 筆資料
16:54:26 步驟 : 3 GUID : 2ad4a3e4-979b-4937-9ab4-0c049e28891a 訊息 : 寫入第 136 筆資料
16:54:26 步驟 : 3 GUID : 2ad4a3e4-979b-4937-9ab4-0c049e28891a 訊息 : 寫入第 137 筆資料
16:54:26 步驟 : 3 GUID : 2ad4a3e4-979b-4937-9ab4-0c049e28891a 訊息 : 寫入第 138 筆資料
16:54:26 步驟 : 3 GUID : 2ad4a3e4-979b-4937-9ab4-0c049e28891a 訊息 : 寫入第 139 筆資料
16:54:26 步驟 : 3 GUID : 2ad4a3e4-979b-4937-9ab4-0c049e28891a 訊息 : 寫入第 140 筆資料
16:54:26 步驟 : 3 GUID : 2ad4a3e4-979b-4937-9ab4-0c049e28891a 訊息 : 寫入第 141 筆資料
16:54:26 步驟 : 3 GUID : 2ad4a3e4-979b-4937-9ab4-0c049e28891a 訊息 : 寫入第 142 筆資料
16:54:26 步驟 : 3 GUID : 2ad4a3e4-979b-4937-9ab4-0c049e28891a 訊息 : 寫入第 143 筆資料
16:54:26 步驟 : 3 GUID : 2ad4a3e4-979b-4937-9ab4-0c049e28891a 訊息 : 寫入第 144 筆資料
16:54:26 步驟 : 3 GUID : 2ad4a3e4-979b-4937-9ab4-0c049e28891a 訊息 : 寫入第 145 筆資料
16:54:26 步驟 : 3 GUID : 2ad4a3e4-979b-4937-9ab4-0c049e28891a 訊息 : 寫入第 146 筆資料
16:54:26 步驟 : 3 GUID : 2ad4a3e4-979b-4937-9ab4-0c049e28891a 訊息 : 寫入第 147 筆資料
16:54:26 步驟 : 3 GUID : 2ad4a3e4-979b-4937-9ab4-0c049e28891a 訊息 : 寫入第 148 筆資料
16:54:26 步驟 : 3 GUID : 2ad4a3e4-979b-4937-9ab4-0c049e28891a 訊息 : 寫入第 149 筆資料
16:54:26 步驟 : 3 GUID : 2ad4a3e4-979b-4937-9ab4-0c049e28891a 訊息 : 寫入第 150 筆資料
16:54:26 步驟 : 3 GUID : 2ad4a3e4-979b-4937-9ab4-0c049e28891a 訊息 : 寫入第 151 筆資料
16:54:26 步驟 : 3 GUID : 2ad4a3e4-979b-4937-9ab4-0c049e28891a 訊息 : 寫入第 152 筆資料
16:54:26 步驟 : 3 GUID : 2ad4a3e4-979b-4937-9ab4-0c049e28891a 訊息 : 寫入第 153 筆資料
16:54:26 步驟 : 3 GUID : 2ad4a3e4-979b-4937-9ab4-0c049e28891a 訊息 : 寫入第 154 筆資料
16:54:26 步驟 : 3 GUID : 2ad4a3e4-979b-4937-9ab4-0c049e28891a 訊息 : 寫入第 155 筆資料
16:54:26 步驟 : 3 GUID : 2ad4a3e4-979b-4937-9ab4-0c049e28891a 訊息 : 寫入第 156 筆資料
16:54:26 步驟 : 3 GUID : 2ad4a3e4-979b-4937-9ab4-0c049e28891a 訊息 : 寫入第 157 筆資料
16:54:26 步驟 : 3 GUID : 2ad4a3e4-979b-4937-9ab4-0c049e28891a 訊息 : 寫入第 158 筆資料
16:54:26 步驟 : 3 GUID : 2ad4a3e4-979b-4937-9ab4-0c049e28891a 訊息 : 寫入第 159 筆資料
16:54:26 步驟 : 3 GUID : 2ad4a3e4-979b-4937-9ab4-0c049e28891a 訊息 : 寫入第 160 筆資料
16:54:26 步驟 : 3 GUID : 2ad4a3e4-979b-4937-9ab4-0c049e28891a 訊息 : 寫入第 161 筆資料
16:54:26 步驟 : 3 GUID : 2ad4a3e4-979b-4937-9ab4-0c049e28891a 訊息 : 寫入第 162 筆資料
16:54:26 步驟 : 3 GUID : 2ad4a3e4-979b-4937-9ab4-0c049e28891a 訊息 : 寫入第 163 筆資料
